"timestamp","type.name","team.name","player.name","play_pattern.name"
"00:09:30.529","Pass","Australia","Mathew Ryan","From Counter"
"00:09:32.209","Ball Receipt*","Australia","Mile Jedinak","From Counter"
"00:09:32.209","Carry","Australia","Mile Jedinak","From Counter"
"00:09:32.729","Pressure","France","Ousmane Dembélé","From Counter"
"00:09:34.169","Foul Committed","France","Ousmane Dembélé","From Counter"
"00:09:34.169","Foul Won","Australia","Mile Jedinak","From Counter"
"00:09:54.529","Pass","Australia","Trent Sainsbury","From Free Kick"
"00:09:57.009","Ball Receipt*","Australia","Mathew Leckie","From Free Kick"
"00:09:57.009","Pass","Australia","Mathew Leckie","From Free Kick"
"00:09:57.956","Ball Receipt*","Australia","Tom Rogić","From Free Kick"
"00:09:57.956","Pass","France","N''Golo Kanté","From Free Kick"
"00:10:05.569","Pass","Australia","Josh Risdon","From Throw In"
"00:10:06.328","Ball Receipt*","Australia","Mile Jedinak","From Throw In"
"00:10:06.328","Carry","Australia","Mile Jedinak","From Throw In"
"00:10:07.169","Pressure","France","Kylian Mbappé Lottin","From Throw In"
"00:10:07.409","Pass","Australia","Mile Jedinak","From Throw In"
"00:10:08.168","Ball Receipt*","Australia","Aaron Mooy","From Throw In"
"00:10:08.168","Carry","Australia","Aaron Mooy","From Throw In"
"00:10:08.849","Pass","Australia","Aaron Mooy","From Throw In"
"00:10:10.569","Ball Receipt*","Australia","Trent Sainsbury","From Throw In"
"00:10:10.569","Carry","Australia","Trent Sainsbury","From Throw In"
"00:10:11.369","Pass","Australia","Trent Sainsbury","From Throw In"
"00:10:13.249","Ball Receipt*","Australia","Mathew Ryan","From Throw In"
"00:10:13.249","Carry","Australia","Mathew Ryan","From Throw In"
"00:10:14.089","Pass","Australia","Mathew Ryan","From Throw In"
"00:10:15.249","Ball Receipt*","Australia","Mark Milligan","From Throw In"
"00:10:15.249","Carry","Australia","Mark Milligan","From Throw In"
"00:10:16.689","Pass","Australia","Mark Milligan","From Throw In"
"00:10:17.849","Ball Receipt*","Australia","Aziz Eraltay Behich","From Throw In"
"00:10:17.849","Carry","Australia","Aziz Eraltay Behich","From Throw In"
"00:10:18.689","Pressure","France","Ousmane Dembélé","From Throw In"
"00:10:18.929","Pass","Australia","Aziz Eraltay Behich","From Throw In"
"00:10:20.169","Ball Receipt*","Australia","Mark Milligan","From Throw In"
"00:10:20.169","Carry","Australia","Mark Milligan","From Throw In"
"00:10:21.569","Pass","Australia","Mark Milligan","From Throw In"
"00:10:24.316","Ball Receipt*","Australia","Andrew Nabbout","From Throw In"
"00:10:24.316","Pass","France","Raphaël Varane","Regular Play"
"00:10:25.809","Ball Receipt*","France","Benjamin Pavard","Regular Play"
"00:10:25.809","Carry","France","Benjamin Pavard","Regular Play"
"00:10:25.928","Pass","France","Benjamin Pavard","Regular Play"
"00:10:26.009","Pressure","Australia","Robbie Kruse","Regular Play"
"00:10:26.888","Ball Receipt*","France","N''Golo Kanté","Regular Play"
"00:10:26.888","Carry","France","N''Golo Kanté","Regular Play"
"00:10:27.449","Pressure","Australia","Robbie Kruse","Regular Play"
"00:10:28.196","Pass","France","N''Golo Kanté","Regular Play"
"00:10:29.449","Ball Receipt*","France","Benjamin Pavard","Regular Play"
"00:10:29.449","Carry","France","Benjamin Pavard","Regular Play"
"00:10:29.729","Pass","France","Benjamin Pavard","Regular Play"
"00:10:30.689","Ball Receipt*","France","Corentin Tolisso","Regular Play"
